price,price_per_sq_ft,bhk,sqft,bathrooms,has_lift,has_parking,has_gym,has_security,has_power_backup,has_swimming_pool,lat,lon,property_type,subproperty_type,age
14800000,14095.0,2,850.0,2.0,0,0,0,0,0,0,18.5167373381986,73.9263036508773,Residential,Apartment,0
10000000,6748.0,3,1098.0,3.0,0,0,0,0,0,0,18.4680743173029,73.8930224694682,Residential,Apartment,0
17995000,11602.0,3,1232.0,3.0,1,1,0,0,0,0,18.5530373310438,73.951490167295,Residential,Apartment,0
11000000,8527.0,2,860.0,3.0,0,0,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
8509760,8120.0,2,776.0,2.0,1,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
13500000,11250.0,2,920.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
14500000,9012.0,3,1192.0,3.0,1,1,0,0,0,0,18.5010967026398,73.9358682814506,Residential,Apartment,0
24500000,15312.0,3,1157.0,3.0,1,0,0,0,0,0,18.4893883742541,73.8198003850328,Residential,Apartment,0
8387250,7950.0,2,780.0,2.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
17500000,11628.0,3,1060.0,3.0,1,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
6500000,9559.0,1,475.0,1.0,1,0,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
16467000,11000.0,3,1109.0,3.0,1,1,0,0,0,0,18.5810936,73.771877,Residential,Apartment,0
21000000,13125.0,3,1037.0,3.0,1,0,0,0,0,0,18.5057078629585,73.8059355451102,Residential,Apartment,0
24500000,13897.0,3,1306.0,3.0,0,1,0,0,0,0,18.537941505528,73.7969848127362,Residential,Apartment,0
14940000,8300.0,3,1250.0,3.0,0,0,0,0,0,0,18.55246177,73.80353449,Residential,Apartment,0
12110000,8650.0,3,1009.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
13750000,12244.0,3,1123.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
11000000,7840.0,3,877.0,3.0,1,1,0,0,0,0,18.5721265707285,73.7570589491508,Residential,Apartment,0
13800000,11500.0,3,853.0,2.0,0,1,0,0,0,0,18.5543586655868,73.9591399743911,Residential,Apartment,0
8000000,11765.0,1,480.0,1.0,0,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
6350000,7560.0,2,628.0,2.0,0,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
13200000,9167.0,3,980.0,3.0,0,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8500000,7456.0,2,820.0,2.0,1,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
16000000,11034.0,3,1065.0,3.0,0,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
8000000,8889.0,2,740.0,2.0,0,1,0,0,0,0,18.4575576340076,73.8049225876653,Residential,Apartment,0
7200000,8027.0,2,730.0,2.0,1,0,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
12500000,8333.0,3,943.0,3.0,0,1,0,0,0,0,18.532526,73.944996,Residential,Apartment,0
3000000,4286.0,2,685.0,2.0,0,0,0,0,0,0,18.7621144,73.8657666,Residential,Apartment,0
11500000,13039.0,2,716.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
24000000,15454.0,3,1336.0,3.0,1,1,0,0,0,0,18.6536881,73.7400954,Residential,Apartment,0
8800000,5594.0,2,1210.0,2.0,1,1,0,0,0,0,18.470825437984,73.9158708957281,Residential,Apartment,0
21000000,14685.0,3,1286.0,3.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
12000000,10610.0,2,870.0,2.0,1,1,0,0,0,0,18.5599716,73.7838163,Residential,Apartment,0
8500000,9594.0,2,716.0,2.0,1,1,0,0,0,0,18.6325935815659,73.7344393940928,Residential,Apartment,0
6500000,5909.0,2,780.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
4600000,5845.0,2,580.0,2.0,0,1,0,0,0,0,18.443965,73.809382,Residential,Apartment,0
4800000,9412.0,2,420.0,2.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
5600000,6588.0,2,625.0,2.0,1,1,0,0,0,0,18.4439750329832,73.8768659759521,Residential,Apartment,0
7500000,9225.0,2,813.0,2.0,0,1,0,0,0,0,18.460745892296,73.8172582450134,Residential,Apartment,0
8300000,8359.0,2,851.0,2.0,1,1,0,0,0,0,18.60470063,73.78706675,Residential,Apartment,0
1800000,3913.0,1,400.0,1.0,0,0,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
4500000,6923.0,1,451.0,1.0,1,1,0,0,0,0,18.601732750311,73.7220719182405,Residential,Apartment,0
4900000,7346.0,1,534.0,1.0,1,1,0,0,0,0,18.4375067657152,73.7916389825431,Residential,Apartment,0
5000000,5848.0,2,633.0,2.0,0,1,0,0,0,0,18.4443480308241,73.8897421581184,Residential,Apartment,0
6600000,7174.0,2,852.0,2.0,1,1,0,0,0,0,18.5911585,73.9260013,Residential,Apartment,0
7000000,9259.0,2,650.0,2.0,1,1,0,0,0,0,18.6201867777314,73.7465762407311,Residential,Apartment,0
12000000,11823.0,3,985.0,3.0,1,1,0,0,0,0,18.5527185,73.9454065,Residential,Apartment,0
11000000,7020.0,3,1350.0,3.0,0,0,0,0,0,0,18.470825437984,73.9158708957281,Residential,Apartment,0
4800000,4571.0,2,761.0,2.0,0,0,0,0,0,0,18.452499,73.9042255,Residential,Apartment,0
14500000,9355.0,3,1088.0,3.0,0,1,0,0,0,0,18.530748,73.927583,Residential,Apartment,0
21000000,11526.0,3,1350.0,2.0,1,1,0,0,0,0,18.4965095214786,73.853305586771,Residential,Apartment,0
3600000,5538.0,1,500.0,1.0,0,0,0,0,0,0,19.1179464762666,73.7342876020424,Residential,Apartment,0
9300000,10333.0,2,715.0,2.0,0,0,0,0,0,0,18.585592,73.7813696,Residential,Apartment,0
16800000,13291.0,3,860.0,2.0,0,0,0,0,0,0,18.599348,73.762495,Residential,Apartment,0
11000000,10476.0,2,1000.0,2.0,0,0,0,0,0,0,18.5635786191835,73.7712219425184,Residential,Apartment,0
4750000,5491.0,2,665.0,2.0,1,1,0,0,0,0,18.6664499937538,73.8474815257257,Residential,Apartment,0
8500000,11184.0,2,548.0,2.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
11500000,10870.0,2,886.0,2.0,1,1,0,0,0,0,18.599348,73.762495,Residential,Apartment,0
4900000,8167.0,1,486.0,1.0,1,1,0,0,0,0,18.616655,73.789527,Residential,Apartment,0
3700000,3524.0,2,850.0,2.0,1,0,0,0,0,0,18.4509142546204,73.9159532114877,Residential,Apartment,0
3600000,7200.0,1,400.0,1.0,0,1,0,0,0,0,18.4461585389775,73.8821015230324,Residential,Apartment,0
27000000,13643.0,3,1414.0,4.0,0,1,0,0,0,0,18.5670809479105,73.9171057653814,Residential,Apartment,0
3500000,4605.0,2,543.0,2.0,0,1,0,0,0,0,18.7343947451665,73.6791497214445,Residential,Apartment,0
9936142,6853.0,3,1110.0,2.0,0,1,0,0,0,0,18.5915090200973,73.8965510533003,Residential,Apartment,0
1400000,8750.0,1,100.0,1.0,0,1,0,0,0,0,18.51050508,73.86993915,Residential,Apartment,0
18000000,12000.0,3,1336.0,3.0,1,1,0,0,0,0,18.601256,73.7645369,Residential,Apartment,0
8700000,7909.0,2,900.0,2.0,1,1,0,0,0,0,18.5041515,73.9015575,Residential,Apartment,0
