area_sqft,bedrooms,bathrooms,distance_cbd_km,school_score,hospital_score,metro_score,crime_index,flood_risk_score,age_years,parking_count,floor_number,total_floors,rental_yield_pct,price_per_sqft_micro_market,absorption_rate,inventory_months,interest_rate_pct,nearby_projects_count,locality_score,property_type,city_tier,furnishing,market_value,liquidity_score,time_to_sell_days
2193.0,5,6,15.11,9.56,9.64,7.93,5.38,4.07,7.7,3.0,23,24,2.66,9855.0,0.594,7.07,8.13,4,8.62,independent_house,metro,semi_furnished,2837640.0,65.84,94.0
2367.0,5,4,5.33,,6.35,7.94,6.16,5.14,15.5,3.0,10,11,5.11,6246.0,0.396,10.25,8.28,9,6.57,apartment,tier_1,semi_furnished,1500000.0,81.98,96.0
1622.0,4,5,0.78,6.56,4.64,7.58,8.18,4.91,16.2,3.0,23,24,3.19,6531.0,0.677,2.51,9.13,1,7.26,independent_house,tier_1,unfurnished,2153610.0,69.37,104.0
812.0,3,2,6.58,,6.24,9.18,3.79,1.03,7.2,1.0,24,25,2.54,8555.0,0.502,7.78,10.35,0,7.06,villa,metro,unfurnished,9300475.0,53.27,135.0
2372.0,5,4,16.25,9.14,6.79,4.6,4.59,1.54,10.7,3.0,0,6,3.33,8495.0,0.77,7.45,8.41,5,8.04,apartment,metro,unfurnished,13684381.0,64.0,95.0
921.0,3,2,25.3,7.44,7.02,2.38,0.43,0.78,20.3,2.0,0,34,3.97,6066.0,0.668,7.56,10.74,2,7.47,plot,metro,unfurnished,4934167.0,81.0,64.0
1626.0,4,3,4.11,7.51,6.64,9.95,6.04,1.86,22.2,1.0,19,26,,7606.0,0.921,8.02,8.11,3,7.99,independent_house,tier_1,semi_furnished,10902009.0,76.25,77.0
1316.0,2,2,13.66,8.16,8.0,5.57,6.0,1.05,13.6,2.0,19,36,,6810.0,0.262,7.79,9.55,4,9.0,independent_house,tier_1,fully_furnished,10226257.0,55.73,99.0
1226.0,3,2,5.62,5.88,5.79,7.96,5.03,2.62,18.1,1.0,29,37,2.0,6080.0,0.665,1.0,9.53,4,6.98,apartment,tier_1,unfurnished,3825504.0,72.5,87.0
1847.0,2,2,21.16,7.71,5.42,4.77,6.44,3.98,13.8,1.0,3,23,2.84,6451.0,0.604,12.23,9.73,8,7.78,apartment,metro,unfurnished,1500000.0,58.79,114.0
1577.0,4,4,16.08,6.26,4.95,5.58,2.89,3.51,16.6,1.0,14,15,3.76,7171.0,0.602,4.89,8.27,7,7.17,apartment,metro,semi_furnished,3335674.0,70.29,96.0
1717.0,4,3,11.22,9.41,7.35,6.59,3.91,1.13,10.9,1.0,15,28,2.01,5868.0,0.505,5.09,9.07,4,7.8,plot,tier_1,semi_furnished,8004149.0,66.43,80.0
1026.0,3,2,11.78,7.83,7.18,3.77,3.98,2.44,6.2,,23,33,3.01,6620.0,0.639,7.18,8.76,3,7.17,villa,metro,unfurnished,5836152.0,66.43,83.0
1359.0,3,2,19.76,8.24,8.86,4.82,6.28,3.94,25.8,1.0,17,34,3.64,5427.0,0.225,8.51,8.47,3,8.07,independent_house,tier_1,unfurnished,1500000.0,53.28,126.0
1050.0,1,1,1.97,4.14,9.63,10.0,6.32,3.69,25.4,1.0,23,30,4.48,10439.0,0.219,2.77,8.54,3,7.44,apartment,metro,fully_furnished,3866873.0,74.54,86.0
1346.0,5,5,8.48,8.26,4.95,8.76,4.87,0.8,11.2,1.0,14,15,2.4,9760.0,0.43,2.21,7.36,3,7.02,apartment,metro,unfurnished,11165363.0,61.87,79.0
1388.0,3,4,3.67,6.93,7.04,8.56,4.78,0.72,14.2,0.0,3,4,5.23,8030.0,0.218,11.71,8.54,4,7.52,villa,tier_1,semi_furnished,15972000.0,71.57,93.0
2409.0,4,4,11.65,5.04,6.65,7.75,5.29,3.13,12.4,2.0,1,21,3.81,6664.0,0.649,5.88,8.23,5,6.54,apartment,tier_1,semi_furnished,6173984.0,79.41,63.0
1315.0,4,4,10.1,7.34,4.39,8.35,3.69,1.17,11.4,1.0,1,30,2.35,6082.0,0.4,7.95,8.4,1,5.41,independent_house,tier_1,unfurnished,8971981.0,55.44,125.0
350.0,2,1,11.21,4.92,6.1,6.02,6.75,2.42,11.8,2.0,19,20,3.53,8770.0,0.566,3.74,7.51,3,8.23,villa,metro,semi_furnished,4537128.0,73.08,85.0
2175.0,4,3,3.23,8.12,9.66,10.0,3.49,1.31,20.4,2.0,15,29,2.75,6279.0,0.63,12.15,8.33,6,8.97,independent_house,tier_2,unfurnished,12209630.0,63.2,113.0
1684.0,3,2,17.73,9.35,5.92,5.8,5.07,2.87,2.5,3.0,8,11,1.99,4340.0,0.548,9.66,8.86,5,8.77,apartment,tier_2,unfurnished,4087787.0,48.27,146.0
1382.0,3,3,14.62,,5.64,5.91,3.23,2.95,6.1,1.0,21,22,3.26,4378.0,0.696,5.21,7.8,5,6.71,plot,tier_2,unfurnished,4332575.0,71.94,84.0
1223.0,2,3,6.43,7.16,6.91,10.0,6.0,1.83,18.5,2.0,15,21,3.28,6961.0,0.491,11.9,8.89,6,7.77,independent_house,tier_1,fully_furnished,7841770.0,52.83,138.0
958.0,1,1,15.36,6.95,8.55,3.26,4.12,0.86,12.5,1.0,10,37,3.65,5593.0,0.564,9.13,8.7,0,7.7,independent_house,tier_1,unfurnished,6183352.0,67.0,117.0
2458.0,6,7,1.17,4.22,6.48,8.06,8.02,3.78,21.4,2.0,3,14,2.55,7731.0,0.484,9.6,8.29,2,6.22,apartment,tier_1,unfurnished,3967519.0,50.33,139.0
1477.0,3,3,3.77,8.57,7.22,9.96,4.07,1.01,11.9,2.0,4,22,2.61,10786.0,0.744,9.83,9.12,5,10.0,apartment,metro,fully_furnished,14273886.0,69.41,80.0
546.0,1,1,8.71,8.14,3.12,8.77,5.99,0.6,14.2,1.0,5,7,4.25,8620.0,0.335,5.81,9.47,7,6.89,apartment,metro,unfurnished,4589454.0,62.9,107.0
1620.0,3,3,7.26,10.0,7.97,10.0,3.17,2.55,9.7,1.0,5,22,4.09,7567.0,0.643,12.77,8.2,3,8.88,apartment,tier_1,fully_furnished,7478121.0,75.32,87.0
2077.0,5,6,20.52,7.94,7.38,1.71,3.75,0.66,22.1,1.0,21,22,2.28,6949.0,0.852,12.61,7.97,6,7.62,villa,metro,semi_furnished,17083017.0,47.22,136.0
1531.0,1,2,13.98,5.88,,7.71,4.22,1.52,18.3,3.0,21,37,1.9,7180.0,0.66,12.73,9.16,2,7.77,independent_house,metro,semi_furnished,8353608.0,45.4,139.0
981.0,2,3,23.29,7.97,3.83,2.43,4.93,3.22,2.3,1.0,34,35,2.39,2913.0,0.467,1.0,8.06,6,7.23,plot,tier_2,semi_furnished,1500000.0,66.93,91.0
935.0,4,4,2.79,9.13,6.49,9.89,2.96,0.63,16.3,1.0,2,13,4.41,12402.0,0.635,7.12,7.52,4,8.12,apartment,metro,semi_furnished,12453442.0,82.35,67.0
973.0,4,3,7.21,,8.64,8.11,3.27,2.93,19.6,1.0,34,35,1.5,8503.0,0.457,8.16,9.23,3,9.81,apartment,tier_1,unfurnished,3561849.0,41.47,142.0
2241.0,5,5,3.6,8.48,6.05,10.0,4.46,0.63,11.1,2.0,25,26,2.87,8240.0,0.771,5.99,8.12,3,7.63,apartment,tier_1,fully_furnished,19078722.0,72.15,92.0
1413.0,4,5,11.26,3.67,7.09,6.86,5.02,1.1,16.9,2.0,4,31,4.23,9110.0,0.657,7.04,9.06,5,7.01,apartment,metro,fully_furnished,12020552.0,72.99,85.0
577.0,2,1,2.79,9.41,6.3,10.0,4.23,3.04,21.8,1.0,19,20,3.57,5548.0,0.605,6.91,7.41,3,8.34,apartment,tier_2,fully_furnished,3875446.0,72.02,93.0
1650.0,3,3,10.26,8.4,6.35,6.28,3.98,1.68,10.6,2.0,20,27,3.26,8531.0,0.829,11.31,8.82,6,7.64,apartment,metro,semi_furnished,10681935.0,66.33,119.0
1523.0,4,4,5.09,3.38,8.98,8.61,1.91,2.12,14.1,1.0,3,37,4.23,5276.0,0.588,10.87,8.61,6,8.44,apartment,tier_2,semi_furnished,5942458.0,82.98,90.0
1217.0,4,4,15.49,7.77,4.58,6.4,5.2,2.56,7.5,2.0,31,32,3.2,5224.0,0.312,8.12,9.33,3,6.45,villa,tier_1,semi_furnished,5968187.0,40.69,166.0
919.0,1,2,8.77,4.22,6.91,10.0,5.82,0.23,15.6,1.0,24,25,2.91,9615.0,0.586,8.43,7.04,5,8.91,apartment,metro,unfurnished,8733378.0,60.91,125.0
897.0,2,2,2.34,6.28,7.43,10.0,6.03,2.73,3.8,2.0,13,29,4.08,11168.0,0.525,7.11,7.43,6,8.84,independent_house,metro,semi_furnished,7448938.0,64.27,91.0
2015.0,4,3,17.09,8.22,8.59,6.01,4.57,3.08,16.7,2.0,14,30,5.12,6723.0,0.57,13.44,9.7,1,6.62,independent_house,metro,semi_furnished,5399417.0,70.81,99.0
1579.0,3,2,17.26,7.0,6.79,,3.21,2.43,23.7,3.0,28,29,1.5,7443.0,0.664,8.23,8.51,7,7.17,apartment,metro,semi_furnished,4904420.0,55.5,126.0
1699.0,3,3,14.94,9.08,8.65,7.79,3.72,2.29,4.3,,21,23,,9057.0,0.701,12.6,7.56,2,8.93,independent_house,metro,unfurnished,9558880.0,74.35,101.0
